Title,Meaning,Context,Notes
CART,Clinical Assessment Reporting and Tracking,,
CASB,Cost Accounting Standards Board,,
CAS,Clinical Ancillary Services,,
CAS,Cost Accounting Standard,,
CASE,Computer Assisted Software Engineering,,
CASES,"Clarify, Assemble, Synthesize, Explain and Support",,
CASES,Creating Advanced Streamlined Electronic Services for Constituents Act of 2019 or the CASES Act, The Act says that agencies have to provide an identity-proofed electronic path for the public to submit a (FOIA style) request for their own records.,
CASS,Computer Assisted System Staff,,
CAT,Computer Access Training,,
CAT,Computer Audio Teleconferencing,,
CAT,Computerized Axial Tomography,,
CATH,"Catheter, as in Urinary Catheter or Cardiac Catheterization",,
CATS,Clinical Advisory Technical Services,,
CATS,Complaints Automated Tracking System,,
CATS,Compliance and Tracking System,,
CAU,Clinical Access Unit,,
CAUTI,Catheter Acquired Urinary Tract Infection,,
CAVC,Court of Appeals for Veterans Claims,appeals,group within judicial system that adjudicates appeals
CAVE,Community Administration of Vaccine Encounters,VHA,"The CAVE project will record community administered immunizations, in the facility VistA instance. The goal is to prevent duplicative vaccinations and to allow providers at the facility to streamline their workflow by providing vaccination information in one place."
CAVHCS,Central Alabama Veterans Health Care System,,
CAVHS,Central Arkansas Veterans Healthcare System,,
CBA,Centrally Billed Account,,
CBA,Clinical Business Area,,
CBA,Cost Benefit Analysis,,
C/B,Call Back,,
CB,Care Bereavement,,
CBC,Community Based Outpatient Clinic,,
CBC,Complete Blood Count,,
CBCMC,Clinical Bar Code Multidisciplinary Committee,,
CBD,Chief Benefits Director,,
CBHCO,Community-Based Health Care Organization,,
CBI,Compliance and Business Integrity,,
CBIR,Call Bell In Reach,,
CBOC,Community Based Outpatient Clinic,,
CBO,Chief Business Office,,
CBO,Congressional Budget Office,,
CBOPC,Chief Business Office Purchased Care,,
CBR,Can Be Reached,,
CBRRP,Community Based Residential Recovery Program,,
CBSE,Component Based Software Engineering,,
CBT,Cognitive Behavioral Therapy,,
CBT,Computer-Based Training,,
C,"C, a general-purpose programming language",,
CCA,Clinger-Cohen Act,,
CCA,Consolidated Contracting Activity,,
CCB,Change Control Board,,
CC,Care Coordinator,,
CCC,Cost Containment Center,,
CC,Ceiling Cost,,
CC,Chief Counsel,,
CC,Community Care,,
CC,Chief Complaint,,
CC,Configuration Control,,
C&C,Confirmed and Continued,,
C-CDA,Consolidated Clinical Document Architecture,,
CCDA,Consolidated Clinical Document Architecture,,
CCD,Centralized Contracting Division,,
CCD,Continuity of Care Document,,
CCDOR,Center for Chronic Disease Outcomes Research,,
CCDSS,Clinical Care Delivery Support System,,
CCEP,Comprehensive Clinical Evaluation Program,,
CCHHIP,Care Coordination Home Health Infrastructure Project,,
CCHIT,Certification Commission for Health Information Technology,,
CCHT,Care Coordination Home Telehealth,,
CCI,Control Correlation Identifier,,
CCIP,Coordinated Care Implementation Project,,
CCITT,Consultative Committee for International Telephone and Telegraphy,,
CCMB,Clinical Care Management Board,,
CCM,Certified Case Manager,,
CCM,Coding Compliant Module,,
CCMD,Call Center MD/ Physicians,,
CCNE,Commission on Collegiate Nursing Education,,
CCO,Community Collaboration Office,,
CCOD,Charge Card Operations Division,,
CCO&TPS,Charge Card Oversight and Travel Policy Services,,
CCOW,Clinical Context Object Workgroup,,
CCPC,Consolidated Co-payment Processing Center,,
CCP,Community Care Provider,,
CCPI,Center for Care and Payment Innovation,"Veterans Health Administration (VHA) Office of Discovery, Education and Affiliate Networks (DEAN), Office of Healthcare Innovation and Learning (OHIL)","Section 152 of the MISSION Act of 2018 authorized the creation of the Center for Care and Payment Innovation (CCPI). The VA Secretary, acting through the Center, may carry out pilot programs that develop innovative approaches to testing payment and service delivery models, which reduce expenditures while preserving or enhancing the quality of care furnished by VA."
CCQAS,Centralized Credentials and Quality Assurance System,,
CCR,Central Contractor Register,,
CCR,Clinical Case Registry,,
CCR,Continuity of Care Record,,
CCRS,Code Change Requests,,
CCRS,Community Care Reimbursement System,,
CCS,Care Coordination Services,,
CCS,CHDR Common Service,,
CCSP,Child Care Subsidy Program,,
CCT,Community Care Team,,
CCT,Critical Care Transport,,
CCTS,Cancer Care Tracking System,Oncology,
CCU,Consolidated Classification Unit,,
CD ROM,Compact Disk Read-Only Memory,,
CDA,Certified Dental Assistant,,
CDA,Clinical Documentation Architecture,,
CDA,Contract Disputes Act,,
CDASH,Clinical Data Acquisition Standards Harmonization,,
CDB,"Cough, Deep Breath",,
CD,Catastrophic Disability,,
CDC,Centers for Disease Control and Prevention,,
CDCI,Corporate Data Center COOP Initiative,,
CDCO,Corporate Data Center Operations (formerly CFDC),,
CDD,Capabilities Development Document,,
CDDT,Capability Deep Dive Team,,
CDE,Clinical Data Enhancement,,
CDF,Capability Development Framework,,
CDF,Corporate Data Franchise Center,,
CDI,"Clean, Dry And Intact",,
CDI,Clinical Documentation Improvement,,
CDI,Clostridium difficile infection,,
CDI,Common Data Initiative,,
CDI,Customer Data Integration,,
CDISC,Clinical Data Interchange Standards Consortium,,
CDIS,Clinical Documentation Improvement Specialist,,
CDM,Canonical Data Model,,
CDM,Chronic Disease Management,,
CDM,Continuous Diagnostics and Monitoring,,
CDN,Content Distribution Network,,
CDO,Chief Data Officer,,
CDO,Compressed Work Schedule (CWS) Day Off,,
CDP,Concurrent Disability Pay,,
CDQR,Clinical Data Quality Review,,
CDR,Caseflow Detail Report,,
CDR,Clinical Data Repository,,
CDR,Commission on Dietetic Registration,,
CDR,Cost Distribution Report,,
CDR,Critical Design Review,,
CDS RW,CDS Read Wrapper,VLER,
CDS WW,CDS Write Wrapper,VLER,
CDS,Clinical Data Services,,
CDS,Clinical Decision Support,,
CDSP,Clinical Decision Support Platform,VHA,
CDSS,Clinical Decision Support System,,
CDT,Current Dental Terminology,,
CDW,Corporate Data Warehouse,,
CEA,Chief Enterprise Architect,,
CEB,Clinical Executive Board,,
CEC,Clinical Ethics Consultation,,
CEC,Community Employment Coordinator,,
CEC,Continuing Education Center,,
CE,Continuing Education,,
CEC,VA Commodities Enterprise Contract,,
CEFU,Continuing Education Field Unit,,
CEHIST,Center for Evaluation of Healthcare Information Systems & Technology,,
CEHRT,Certified Electronic Health Record Technology,,
CEIS,Corporate Executive Information System,,
CELO,Chief Education Liaison Officers,,
CEMP,Comprehensive Emergency Management Program,,
CEN,Committee European de Normalisation,,
CEO,Chief Executive Officer,,
CEOSH,Center for Engineering & Occupational Safety and Health,,
CERME,Care Enhanced Review Management Enterprise,,
CERME,CareEnhance Review Manager Software,,
CERS,Community Engagement and Reintegration Services,,
CERT,Computer Emergency Response Team,,
CESAMH,Center of Excellence for Stress and Mental Health,,
CESATE,Center of Excellence in Substance Abuse Treatment and Education,,
CES,Coordinated Entry System,,
CEST,Claims Establishment,,
Cesting,"Establishing the End Product, a term of art for Claims Establishment",,
CFC,Combined Federal Campaign,,
CFC,Court of Federal Claims,,
CFDA,Catalog of Federal Domestic Assistance,,
CFD,Corporate Franchise Datacenter (3/08 see CDCO),,
CFI,Claim for Increase,,
CFID,Change of Fiduciary,,
C-FILE,Claims File,,
CFIM,Customer Facing Incident Management Dashboard,,
CFM,Construction & Facilities Management,,
CFOC,Chief Financial Officers Council,,
CFO,Chief Financial Officer,,
CFP,Clinical Financial Planner,,
CFR,Code of Federal Regulations,,
CGA,Contact Guard Assist,,
CGE,Concur Government Edition,,
CGM,Continuous Glucose Monitor,,
CGMP,Certified Government Meeting Professional,,
CHADS2,CHADS2 score,,
CHALENG,Community Homeless Assessment Local Education Networking Groups,,
CHAMPUS,Civilian Health & Medical Program of the Uniformed Services,,
CHAMPVA,Civilian Health and Medical Program of the Department of Veterans Affairs,,
CHAP,Chaplain,,
CHB,Complete Heart Block,,
CHCS,Composite Health Care System (DoD),,
CHDR,Clinical/Health Data Repository,,
CHEC,Community Health Education Center,,
CHEP,Cooperative Health Manpower Education Programs,,
CHERP,Center for Health Research Equity and Promotion,,
CHF,Congestive Heart Failure,,
CHI,Consolidated Health Informatics,,
CHIM,Center for Healthcare Information Management,,
CHIME,College of Healthcare Information Management Executives,,
CHIN,Community Health Information Network,,
CHIO,Chief Health Informatics Office(r),,
CHIP,Check-in Integration Point,,
CHIP,Collaborative Health Information Partners,,
CHIPS,Consumer Health Information & Performance Set,,
CHIR,Consortium for Healthcare Informatics Research,,
CHIS,Center for Healthcare Information Security,,
CHISS,Common Health Information Security Service,,
CHO,Carbohydrate,,
CHOMP,Community Hospital of Monterey Peninsula,,
CHPPM,U. S. Army Center for Health Promotion and Preventive Medicine,,
CHR,Consolidated Health Record,,
CHS,Columbus House Shelter,,
CHSS,Certified HIPAA Security Specialist Certification,,
CHUI,Character-based User Interface,,
CICA,Competition in Contracting Act,,
CIC,Clean Intermittent Catheterization,,
CI/CD,Continuous Integration / Continuous Delivery/Deployment,,
CI,Commercial Integrator,,
CI,Configurable Item,,
CI,Contract Item/Control Item,,
CICSP,Continuous Improvement In Cardiac Surgery Program,,
CIDC,Clinical Indicators Data Capture,,
CID,Clinically Indicated Date,,
CID,Criminal Investigation Division,,
CIDD,Common Intrusion Detection Director,,
CIDMO,Clinical Informatics and Data Management Office,,
CIDP,Chronic Inflammatory Demyelinating Polyneuropathy,,
CIF,Code In flight,,
CIIF,Common Information Interoperability Framework,,
CIIRP,Comprehensive Integrated Inpatient Rehabilitation Program,,
CIM,Corporate Information Model,,
CIO NTEO,Chief Information Office National Training and Education Office,,
CIO,Chief Information Officer,,
CIOFO,Chief Information Office Field Office,,
CIP,Capital Investment Process,,
CIP,Capital Investment Proposal,,
CIP,Critical Infrastructure Protection,,
CIPP/G,Certified Information Privacy Professional/Government,,
C-IPT,Capability Integrated Project Team,,
CIPT,Capability Integrated Project Team,,
CIRC,Central Incident Response Capability,,
CIRD,Clinical Informatics & Requirements Directorate,,
CIRD,Clinical Informatics and Requirements Division,,
CIRN,Clinical Information Resources Network,,
CIRN-CR,CIRN-Clinical Repository,,
CIRT,Critical Incident Response Team,,
CIS/ARK,ICU Clinical Information System and Anesthesia Record Keeping System,,
CIS,Clinical Information System,,
CISS,Clinical Information Support System,,
CISS-OHRS,Clinical Information Support System - Occupational Health Record-keeping System,,
CISSP,Certified Information System Security Professional,,
CI/ST,Component integration/system test,,
CITC,Care In The Community,,
CITE,Community Information Technology Engagement Program,,
CITI,CHAMPVA In-house Treatment Initiative,,
CITL,Center for Information Technology Leadership,,
CITN,Critical Incident Tracking Notification,,
CITPO,Clinical Information Technology Program Office,,
CIWA,Clinical Institute Withdrawal Assessment,,
CIWD,Condition Interfered With Duty,,
CKD,Chronic kidney disease,,
CLABSI,Central Line-Associated Bloodstream Infection,,
CLA,Customer License Agreement,,
CLASS,Community Living Assistance Services and Supports,,
CLC,Community Living Center,,
CLIA,Clinical Laboratory Improvement Amendment,,
CLIM,Common Logical Information Model,,
CLIN,Contract Line Item Number,,
CLIO,Clinical Observations,,
CLOB,Character Large Object,,
CLO,Chief Logistics Officer,,
CLO,Committee Liaison Office,,
CLP,Campaign Landing Page,,
CLS,Clinical Lexicon Consortium,,
CMAC,CHAMPUS Maximum Allowable Charges,,
CMA,Change Management Agent,,
CM,Case Manager,,
CMC,Consolidated Medical Center,,
CM,Change Management,,
CMCHS,Civilian Military Contingency Hospital System,,
CMCOM,Configuration Management Process Committee,,
CM,Configuration Management,,
CM,Contact Management,,
CMDB,Configuration Management Database,,
CMD,Chief Medical Director,,
CME,Continuing Medical Education,,
CMHC,Community Mental Health Center,,
CMI,Chronic Mental Illness,,
CMIO,Chief Medical Information Officer,,
CMIT,Current Medical Information and Terminology,,
CMM,Capability Maturity Model,,
CMMI,Capability Maturity Model Integration,,
CMO,Chief Medical Officer,,
CMOP,Consolidated Mail Outpatient Pharmacy,,
CMOR,CIRN Master of Record (replaced by PV),,
CMP (Labs),Comprehensive Metabolic Panel,,
CMP,Centralized Mail Portal,,
CMP,Configuration Management Plan,,
CMR,Consolidated Memorandum of Receipt,,
CMRS,Continuous Monitoring and Risk Scoring,CMRS results are valid Test Results that can be uploaded in eMASS.,The CMRS system is a web-based visualization tool that monitors cybersecurity risk for systems throughout the DOD.
CMS,Card Management System,,
CMS,Centers for Medicare & Medicaid Services (previously HCFA),,
CMS,Central Medical Supply,,
CMS,Content Management Services,,
CMSTP,Circulation Motor Sensation Temperature Pulse,,
CM/SWS,Care Management and Social Work Services,,
CMT,Centralized Means Test,,
CMTRA,Care Management Tracking and Reporting Application,,
C/MU,Certification/Meaningful Use,,
CNBD,Could Not Be Determined,,
CN,Cranial Nerve,,
CNE,Certified Network Engineer,,
CNHC,Community Nursing Home Care,,
CNH,Community Nursing Home,,
CNH,Contract Nursing Homes,,
CNIO,Chief Nursing Informatics Office,,
CNO,Chief Network Officer,,
CNP,Controlled national policy,,
CNS,Central Nervous System,,
CNS,Clinical Nurse Specialist,,
CNSD,Clinical Nurse Staff Development,,
COAS,Clinical Observation Access Control,,
COB,Close of Business,,
COBOL,Common Business Oriented Language,,
COBRA,Consolidated Omnibus Budget Reconciliation Act,,
CO,Central Office,,
CO,Change Order,,
CO,Close Observation,,
C/O,Complains Of,,
CO,Constant Observation (for pts with SI/HI concerns),,
CO,Contracting Officer,,
COD,Character of Discharge,,
C.O.D.,Contract on Delivery,,
COE,Centers of Excellence,,
COE,Certificate of Eligibility,,
COFC,Court of Federal Claims,,
COG,Clinical Oversight Group,,
COG,Continuity of Government,,
COHIC,National Center for Occupational Health and Infection Control,,
COHRS,Central Office Human Resources Service,,
COI,Communities of Interest,,
COI,Conflict of Interest,,
COIN,Center of Innovation,,
COLA,Cost Of Living Adjustment,,
COLLAGE,Communities On-line Learning About Guidelines,,
COLMR,"Center for Organization, Leadership, and Management Research",,
COLT,Clinical Online Training,,
Columbia HCA,Columbia Health Care Corporation,,
COM+,Component Object Model +,,
Comms & PR,Communications and Public Relations,,
comp & pen,Compensation And Pension,,
COMS,Cloud Operations Migration Service,,
COMSEC,Computer Security,,
CONOPS,Concept of Operations,,
CONUS,Continental United States,,
COO,Chief Operations Officer,,
COOP,Continuity of Operations (Plan),,
COP,Community of Practice, aka Conformity of Production,
COPD,Chronic Obstructive Pulmonary Disease,,
COPS,Community Outpatient Services,,
CORBA,Common Object Request Broker Architecture,,
CORBA/OMA,Common Object Request Broker Architecture/Object Management Architecture,,
COR,Contracting Officer's Representative,,
COR,Copy of Record,,
CORE,Clinical Observations Recording and Encoding,,
COREFLS,Core Financial and Logistics System,,
CORI,Clinical Outcomes Research Initiative,,
CORK,Conference Oversight and Reporting Knowledgebase,,
